"Level.4","CellId","ImageId"
"Reg",203,"image_1"
"Tumor Cells",204,"image_1"
"Cytotoxic",205,"image_1"
"Cytotoxic",206,"image_1"
"Cytotoxic",207,"image_1"
"Cytotoxic",208,"image_1"
"Cytotoxic",209,"image_1"
"Cytotoxic",210,"image_1"
"Cytotoxic",211,"image_1"
"Cytotoxic",212,"image_1"
"Cytotoxic",213,"image_1"
"Cytotoxic",214,"image_1"
"Cytotoxic",215,"image_1"
"Cytotoxic",216,"image_1"
"Cytotoxic",217,"image_1"
"Cytotoxic",218,"image_1"
"Cytotoxic",219,"image_1"
"Cytotoxic",220,"image_1"
"Cytotoxic",221,"image_1"
"Cytotoxic",222,"image_1"
"Cytotoxic",223,"image_1"
"Cytotoxic",224,"image_1"
"Cytotoxic",225,"image_1"
"Cytotoxic",226,"image_1"
"Reg",227,"image_1"
"Cytotoxic",228,"image_1"
"Cytotoxic",229,"image_1"
"Cytotoxic",230,"image_1"
"Cytotoxic",231,"image_1"
"Tumor Cells",232,"image_1"
"Cytotoxic",233,"image_1"
"Cytotoxic",234,"image_1"
"Cytotoxic",235,"image_1"
"Cytotoxic",236,"image_1"
"Cytotoxic",237,"image_1"
"Cytotoxic",238,"image_1"
"Cytotoxic",239,"image_1"
"Cytotoxic",240,"image_1"
"Cytotoxic",241,"image_1"
"Cytotoxic",242,"image_1"
"Cytotoxic",243,"image_1"
"Cytotoxic",244,"image_1"
"Cytotoxic",245,"image_1"
"Reg",246,"image_1"
"Cytotoxic",247,"image_1"
"Cytotoxic",248,"image_1"
"Cytotoxic",249,"image_1"
"Cytotoxic",250,"image_1"
"Cytotoxic",251,"image_1"
"Cytotoxic",252,"image_1"
"Cytotoxic",253,"image_1"
"Cytotoxic",254,"image_1"
"Cytotoxic",255,"image_1"
"Cytotoxic",256,"image_1"
"Tumor Cells",257,"image_1"
"Cytotoxic",258,"image_1"
"Cytotoxic",259,"image_1"
"Reg",260,"image_1"
"Cytotoxic",261,"image_1"
"Cytotoxic",262,"image_1"
"Cytotoxic",263,"image_1"
"Cytotoxic",264,"image_1"
"Cytotoxic",265,"image_1"
"Cytotoxic",266,"image_1"
"Cytotoxic",267,"image_1"
"Cytotoxic",268,"image_1"
"Cytotoxic",269,"image_1"
"Tumor Cells",270,"image_1"
"Cytotoxic",271,"image_1"
"Cytotoxic",272,"image_1"
"Cytotoxic",273,"image_1"
"Cytotoxic",274,"image_1"
"Tumor Cells",275,"image_1"
"Cytotoxic",276,"image_1"
"Cytotoxic",277,"image_1"
"Cytotoxic",278,"image_1"
"Cytotoxic",279,"image_1"
"Cytotoxic",280,"image_1"
"Cytotoxic",281,"image_1"
"Cytotoxic",282,"image_1"
"Cytotoxic",283,"image_1"
"Cytotoxic",284,"image_1"
"Cytotoxic",285,"image_1"
"Cytotoxic",286,"image_1"
"Cytotoxic",287,"image_1"
"Reg",288,"image_1"
"Cytotoxic",289,"image_1"
"Cytotoxic",290,"image_1"
"Cytotoxic",291,"image_1"
"Cytotoxic",292,"image_1"
"Cytotoxic",293,"image_1"
"Cytotoxic",294,"image_1"
"Reg",295,"image_1"
"Cytotoxic",296,"image_1"
"Cytotoxic",297,"image_1"
"Cytotoxic",298,"image_1"
"Cytotoxic",299,"image_1"
"Cytotoxic",300,"image_1"
"Cytotoxic",301,"image_1"
"Reg",302,"image_1"
"Cytotoxic",303,"image_1"
"Cytotoxic",304,"image_1"
"Cytotoxic",305,"image_1"
"Cytotoxic",306,"image_1"
"Cytotoxic",307,"image_1"
"Cytotoxic",308,"image_1"
"Cytotoxic",309,"image_1"
"Cytotoxic",310,"image_1"
"Cytotoxic",311,"image_1"
"Cytotoxic",312,"image_1"
"Cytotoxic",313,"image_1"
"Cytotoxic",314,"image_1"
"Cytotoxic",315,"image_1"
"Cytotoxic",316,"image_1"
"Cytotoxic",317,"image_1"
"Cytotoxic",318,"image_1"
"Reg",319,"image_1"
"Cytotoxic",320,"image_1"
"Cytotoxic",321,"image_1"
"Cytotoxic",322,"image_1"
"Cytotoxic",323,"image_1"
"Cytotoxic",324,"image_1"
"Reg",325,"image_1"
"Cytotoxic",326,"image_1"
"Cytotoxic",327,"image_1"
"Cytotoxic",328,"image_1"
"Reg",329,"image_1"
"Reg",330,"image_1"
"Reg",331,"image_1"
"Reg",332,"image_1"
"Cytotoxic",333,"image_1"
"Cytotoxic",334,"image_1"
"Cytotoxic",335,"image_1"
"Cytotoxic",336,"image_1"
"Cytotoxic",337,"image_1"
"Cytotoxic",338,"image_1"
"Cytotoxic",339,"image_1"
"Reg",340,"image_1"
"Cytotoxic",341,"image_1"
"Cytotoxic",342,"image_1"
"Reg",343,"image_1"
"Reg",344,"image_1"
"Reg",345,"image_1"
"Cytotoxic",346,"image_1"
"Cytotoxic",347,"image_1"
"Reg",348,"image_1"
"Reg",349,"image_1"
"Reg",350,"image_1"
"Reg",351,"image_1"
"Reg",352,"image_1"
"Reg",353,"image_1"
"Reg",354,"image_1"
"Reg",355,"image_1"
"Cytotoxic",356,"image_1"
"Cytotoxic",357,"image_1"
"Tumor Cells",358,"image_1"
"Cytotoxic",359,"image_1"
"Reg",360,"image_1"
"Cytotoxic",361,"image_1"
"Reg",362,"image_1"
"Tumor Cells",363,"image_1"
"Cytotoxic",364,"image_1"
"Reg",365,"image_1"
"Cytotoxic",366,"image_1"
"Cytotoxic",367,"image_1"
"Cytotoxic",368,"image_1"
"Cytotoxic",369,"image_1"
"Cytotoxic",370,"image_1"
"Cytotoxic",371,"image_1"
"Cytotoxic",372,"image_1"
"Cytotoxic",373,"image_1"
"Cytotoxic",374,"image_1"
"Cytotoxic",375,"image_1"
"Cytotoxic",376,"image_1"
"Cytotoxic",377,"image_1"
"Cytotoxic",378,"image_1"
"Cytotoxic",379,"image_1"
"Tumor Cells",380,"image_1"
"Cytotoxic",381,"image_1"
"Cytotoxic",382,"image_1"
"Cytotoxic",383,"image_1"
"Cytotoxic",384,"image_1"
"Cytotoxic",385,"image_1"
"Cytotoxic",386,"image_1"
"Cytotoxic",387,"image_1"
"Cytotoxic",388,"image_1"
"Cytotoxic",389,"image_1"
"Cytotoxic",390,"image_1"
"Cytotoxic",391,"image_1"
"Cytotoxic",392,"image_1"
"Cytotoxic",393,"image_1"
"Reg",394,"image_1"
"Cytotoxic",395,"image_1"
"other",396,"image_1"
"other",397,"image_1"
"Reg",398,"image_1"
"Cytotoxic",399,"image_1"
"Reg",400,"image_1"
"Cytotoxic",401,"image_1"
"Tumor Cells",402,"image_1"
"Cytotoxic",403,"image_1"
"Cytotoxic",404,"image_1"
"Cytotoxic",405,"image_1"
"Cytotoxic",406,"image_1"
"Cytotoxic",407,"image_1"
"Cytotoxic",408,"image_1"
"Cytotoxic",409,"image_1"
"Cytotoxic",410,"image_1"
"Cytotoxic",411,"image_1"
"Cytotoxic",412,"image_1"
"Cytotoxic",413,"image_1"
"Cytotoxic",414,"image_1"
"Cytotoxic",415,"image_1"
"Cytotoxic",416,"image_1"
"Cytotoxic",417,"image_1"
"other",418,"image_1"
"Cytotoxic",419,"image_1"
"Tumor Cells",420,"image_1"
"Cytotoxic",421,"image_1"
"Tumor Cells",422,"image_1"
"Cytotoxic",423,"image_1"
"Cytotoxic",424,"image_1"
"Cytotoxic",425,"image_1"
"Cytotoxic",426,"image_1"
"Cytotoxic",427,"image_1"
"Cytotoxic",428,"image_1"
"Reg",429,"image_1"
"Cytotoxic",430,"image_1"
"Cytotoxic",431,"image_1"
"Cytotoxic",432,"image_1"
"Cytotoxic",433,"image_1"
"Cytotoxic",434,"image_1"
"Reg",435,"image_1"
"Cytotoxic",436,"image_1"
"Cytotoxic",437,"image_1"
"Cytotoxic",438,"image_1"
"Cytotoxic",439,"image_1"
"Cytotoxic",440,"image_1"
"Reg",441,"image_1"
"Cytotoxic",442,"image_1"
"Cytotoxic",443,"image_1"
"Cytotoxic",444,"image_1"
"Reg",445,"image_1"
"Cytotoxic",446,"image_1"
"Cytotoxic",447,"image_1"
"Cytotoxic",448,"image_1"
"Tumor Cells",449,"image_1"
"Cytotoxic",450,"image_1"
"Cytotoxic",451,"image_1"
"Reg",452,"image_1"
"Cytotoxic",453,"image_1"
"Cytotoxic",454,"image_1"
"Cytotoxic",455,"image_1"
"Cytotoxic",456,"image_1"
"Cytotoxic",457,"image_1"
"Cytotoxic",458,"image_1"
"Cytotoxic",459,"image_1"
"Tumor Cells",460,"image_1"
"Cytotoxic",461,"image_1"
"Cytotoxic",462,"image_1"
"Cytotoxic",463,"image_1"
"Cytotoxic",464,"image_1"
